Judiciary Sector Template 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,County Name,Number of judges/magistrates trained in SGVB,,,,,,,,,,,,,,,,,,,,Number of prosecuted SGBV cases,,Number of prosecuted SGBV cases withdrawn,,Number of prosecuted SGBV cases that resulted in a conviction,,Average time to conclude a SGBV case (weeks),
,,Date (MM/YYYY),Male,,,,,,,,,,,Female,,,,,,,,Date (MM/YYYY),Aggregate,Date (MM/YYYY),Aggregate,Date (MM/YYYY),Aggregate,Date (MM/YYYY),Aggregate
,,,Supreme Court Judge,Court of Appeal Judge,High Court Judge,Chief Magistrate,Senior Principal Magistrate,Principal Magistrate,Senior Resident Magistrate,Resident Magistrate,Chief Kadhi,Deputy Chief Kadhi,Kadhi,Supreme Court Judge,Court of Appeal Judge,High Court Judge,Chief Magistrate,Senior Principal Magistrate,Principal Magistrate,Senior Resident Magistrate,Resident Magistrate,,,,,,,,
1,Mombasa,11/2015,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,11/2015,20,10/2015,21,02/2015,22,03/2015,23
2,Kwale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kilifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tana River,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Taita-Taveta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Garissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,wajir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mandera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Marsabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Isiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Meru,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tharaka-Nithi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kitui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Machakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Makueni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nyandarua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nyeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Kirinyaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Murang'a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kiambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Turkana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,West Pokot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Samburu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Trans Nzoia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Uasin Gishu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Elgeyo-Marakwet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Nandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Baringo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Laikipia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Nakuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Narok,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kajiado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Kericho,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bomet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Kakamega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Vihiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bungoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Busia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Siaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kisumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Homa Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Migori,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kisii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Nyamira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Nairobi County,,,,,,,,,,,,,,,,,,,,,,,,,,,10/2015,50
,Kenya (All),,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0
